Appl_Type,Appl_No,Product_No,Exclusivity_Code,Exclusivity_Date
N,17031,1,RTO,13-Jul-26
N,18680,1,D-193,28-Jun-27
N,18735,2,I-975,10-Oct-28
N,18735,3,I-975,10-Oct-28
N,18735,6,I-975,10-Oct-28
N,18735,7,I-975,10-Oct-28
N,19569,1,ODE-267,28-Jun-26
N,20263,9,NS,14-Apr-26
N,20862,1,M-14,11-Jun-28
N,20862,2,M-14,11-Jun-28
N,20862,3,M-14,11-Jun-28
N,20899,1,NPP,09-May-28
N,20988,1,NPP,12-Aug-27
N,21164,1,NCE,22-Sep-28
N,21164,2,NCE,22-Sep-28
N,21164,3,NCE,22-Sep-28
N,21164,4,NCE,22-Sep-28
N,21196,1,ODE-231,26-Oct-25
N,21323,1,NPP,12-May-26
N,21323,2,NPP,12-May-26
N,21323,3,NPP,12-May-26
N,21365,1,NPP,12-May-26
N,21529,2,D-199,16-Jan-29
N,21539,1,D-196,26-Nov-27
N,21825,1,ODE-417,30-Apr-28
N,21825,1,ODE-420,30-Apr-28
N,21825,1,ODE-421,30-Apr-28
N,21825,2,ODE-417,30-Apr-28
N,21825,2,ODE-420,30-Apr-28
N,21825,2,ODE-421,30-Apr-28
N,21845,1,M-287,31-Jan-26
N,21845,1,ODE-469,31-Jan-30
N,21880,1,ODE-241,28-May-26
N,21880,1,ODE-245,28-May-26
N,21880,2,ODE-241,28-May-26
N,21880,2,ODE-245,28-May-26
N,21880,3,ODE-241,28-May-26
N,21880,3,ODE-245,28-May-26
N,21880,4,ODE-241,28-May-26
N,21880,4,ODE-245,28-May-26
N,21880,5,ODE-241,28-May-26
N,21880,5,ODE-245,28-May-26
N,21880,6,ODE-241,28-May-26
N,21880,6,ODE-245,28-May-26
N,21986,1,ODE-225,21-Dec-25
N,21986,2,ODE-225,21-Dec-25
N,21986,3,ODE-225,21-Dec-25
N,21986,4,ODE-225,21-Dec-25
N,21986,5,ODE-225,21-Dec-25
N,21986,6,ODE-225,21-Dec-25
N,22068,1,ODE-380,23-Sep-28
N,22068,2,ODE-380,23-Sep-28
N,22068,3,ODE-380,23-Sep-28
N,22192,1,I-939,02-Apr-27
N,22192,2,I-939,02-Apr-27
N,22192,3,I-939,02-Apr-27
N,22192,4,I-939,02-Apr-27
N,22192,5,I-939,02-Apr-27
N,22192,6,I-939,02-Apr-27
N,22192,7,I-939,02-Apr-27
N,22225,1,NPP,12-Dec-27
N,22225,2,NPP,12-Dec-27
N,22231,1,NCE,14-Sep-27
N,22231,1,ODE-406,14-Sep-29
N,22253,1,D-188,28-Apr-26
N,22253,2,D-188,28-Apr-26
N,22253,3,D-188,28-Apr-26
N,22253,4,D-188,28-Apr-26
N,22254,1,D-188,28-Apr-26
N,22255,1,D-188,28-Apr-26
N,22271,1,M-300,27-Jul-26
N,22271,2,M-300,27-Jul-26
N,22271,3,M-300,27-Jul-26
N,22304,1,NPP,03-Jul-26
N,22304,2,NPP,03-Jul-26
N,22304,3,NPP,03-Jul-26
N,22335,1,NP,29-Sep-26
N,22348,1,NPP,11-May-26
N,22348,2,NPP,11-May-26
N,22348,3,NPP,11-May-26
N,22372,1,ODE-315,05-Aug-27
N,22473,1,M-287,31-Jan-26
N,22496,1,I-929,09-Nov-26
N,22496,2,I-929,09-Nov-26
N,22526,1,I-983,13-Dec-28
N,22562,1,ODE-345,22-Jan-28
N,22580,1,M-308,13-Sep-27
N,22580,2,M-308,13-Sep-27
N,22580,3,M-308,13-Sep-27
N,22580,4,M-308,13-Sep-27
N,50708,1,ODE-360,16-Jul-28
N,50708,2,ODE-360,16-Jul-28
N,50708,3,ODE-360,16-Jul-28
N,50709,1,ODE-360,16-Jul-28
N,50794,1,ODE-399,20-May-29
N,201280,1,M-295,20-Jun-26
N,201281,1,M-295,20-Jun-26
N,201281,2,M-295,20-Jun-26
N,201281,3,M-295,20-Jun-26
N,201532,1,M-280,13-Sep-25
N,201699,1,ODE-367,24-Jan-27
N,201848,1,NP,14-Aug-26
N,201848,1,ODE-438,14-Aug-30
N,202022,1,NPP,15-Mar-27
N,202049,1,ODE-327,30-Oct-27
N,202155,1,NPP,17-Apr-28
N,202155,2,NPP,17-Apr-28
N,202155,3,NS,17-Apr-28
N,202192,1,M-285,19-Dec-25
N,202192,1,ODE-238,24-May-26
N,202192,1,ODE-373,22-Sep-28
N,202192,2,M-285,19-Dec-25
N,202192,2,ODE-238,24-May-26
N,202192,2,ODE-373,22-Sep-28
N,202192,3,M-285,19-Dec-25
N,202192,3,ODE-238,24-May-26
N,202192,3,ODE-373,22-Sep-28
N,202192,4,M-285,19-Dec-25
N,202192,4,ODE-238,24-May-26
N,202192,4,ODE-373,22-Sep-28
N,202192,5,M-285,19-Dec-25
N,202192,5,ODE-238,24-May-26
N,202192,5,ODE-373,22-Sep-28
N,202293,1,M-298,08-May-26
N,202293,1,NPP,12-Jun-27
N,202293,2,M-298,08-May-26
N,202293,2,NPP,12-Jun-27
N,202408,1,ODE-235,29-Mar-26
N,202570,1,ODE-328,14-Jan-28
N,202570,1,ODE-407,14-Jul-29
N,202570,2,ODE-328,14-Jan-28
N,202570,2,ODE-407,14-Jul-29
N,202714,1,M-14,22-May-28
N,202714,2,M-14,22-May-28
N,202714,3,M-14,22-May-28
N,202806,1,I-908,16-Mar-26
N,202806,1,ODE-428,16-Mar-30
N,202806,2,I-908,16-Mar-26
N,202806,2,ODE-428,16-Mar-30
N,202811,1,I-921,12-Jun-26
N,202811,1,NPP,04-Nov-28
N,202811,3,I-921,12-Jun-26
N,203094,1,ODE-260,22-Aug-26
N,203109,1,M-287,31-Jan-26
N,203188,1,ODE-338,21-Dec-27
N,203214,1,M-14,21-Feb-28
N,203341,1,I-923,26-Sep-26
N,203341,1,ODE-444,26-Sep-30
N,203341,2,I-923,26-Sep-26
N,203341,2,ODE-444,26-Sep-30
N,203341,3,I-923,26-Sep-26
N,203341,3,ODE-444,26-Sep-30
N,203414,1,M-300,27-Jul-26
N,203414,2,M-300,27-Jul-26
N,203415,1,I-926,17-Nov-26
N,203441,1,ODE-240,16-May-26
N,203469,1,I-934,19-Mar-27
N,203469,1,ODE-472,19-Mar-31
N,203469,2,I-934,19-Mar-27
N,203469,2,ODE-472,19-Mar-31
N,203469,3,I-934,19-Mar-27
N,203469,3,ODE-472,19-Mar-31
N,203469,4,I-934,19-Mar-27
N,203469,4,ODE-472,19-Mar-31
N,203496,1,ODE-272,18-Oct-26
N,203496,2,ODE-272,18-Oct-26
N,203496,3,ODE-272,18-Oct-26
N,203496,4,ODE-272,18-Oct-26
N,203496,5,ODE-272,18-Oct-26
N,203565,1,I-915,31-May-26
N,203565,2,I-915,31-May-26
N,203565,3,I-915,31-May-26
N,203565,4,I-915,31-May-26
N,203794,1,NPP,03-Jul-26
N,204026,1,ODE-296,14-May-27
N,204026,1,ODE-297,14-May-27
N,204026,2,ODE-296,14-May-27
N,204026,2,ODE-297,14-May-27
N,204026,3,ODE-296,14-May-27
N,204026,3,ODE-297,14-May-27
N,204026,4,ODE-296,14-May-27
N,204026,4,ODE-297,14-May-27
N,204042,1,NPP,18-Dec-27
N,204042,2,NPP,18-Dec-27
N,204114,1,I-908,16-Mar-26
N,204114,1,ODE-428,16-Mar-30
N,204114,2,I-908,16-Mar-26
N,204114,2,ODE-428,16-Mar-30
N,204114,3,I-908,16-Mar-26
N,204114,3,ODE-428,16-Mar-30
N,204168,1,M-304,24-Mar-26
N,204168,2,M-304,24-Mar-26
N,204168,3,M-304,24-Mar-26
N,204168,4,M-304,24-Mar-26
N,204275,1,NPP,13-May-26
N,204275,3,NS,13-May-26
N,204353,1,NPP,18-Dec-27
N,204353,2,NPP,18-Dec-27
N,204353,3,NPP,18-Dec-27
N,204353,4,NPP,18-Dec-27
N,204384,1,M-306,21-Jun-27
N,204384,1,ODE-251,09-Aug-26
N,204384,1,ODE-307,27-May-27
N,204384,2,M-306,21-Jun-27
N,204384,2,ODE*,09-Aug-26
N,204384,2,ODE-307,27-May-27
N,204410,1,M-187,28-Feb-28
N,204447,1,M-232,23-Aug-26
N,204447,2,M-232,23-Aug-26
N,204447,3,M-232,23-Aug-26
N,204447,4,M-232,23-Aug-26
N,204508,1,NPP,24-Apr-27
N,204629,1,I-922,21-Sep-26
N,204629,1,NPP,20-Jun-26
N,204629,2,NPP,20-Jun-26
N,204630,1,M-303,08-Jan-27
N,204630,2,M-303,08-Jan-27
N,204671,1,ODE*,28-Aug-26
N,204671,2,ODE*,28-Aug-26
N,205053,1,NPP,27-Jan-29
N,205053,1,ODE-355,17-Jun-28
N,205109,1,NPP,01-Jul-27
N,205422,1,I-913,10-May-26
N,205422,1,M-14,08-May-27
N,205422,1,M-315,09-May-28
N,205422,2,I-913,10-May-26
N,205422,2,M-14,08-May-27
N,205422,2,M-315,09-May-28
N,205422,3,I-913,10-May-26
N,205422,3,M-14,08-May-27
N,205422,3,M-315,09-May-28
N,205422,4,I-913,10-May-26
N,205422,4,M-14,08-May-27
N,205422,4,M-315,09-May-28
N,205422,5,I-913,10-May-26
N,205422,5,M-14,08-May-27
N,205422,5,M-315,09-May-28
N,205422,6,I-913,10-May-26
N,205422,6,M-14,08-May-27
N,205422,6,M-315,09-May-28
N,205435,1,NPP,04-Apr-28
N,205436,1,NPP,04-Apr-28
N,205437,1,M-299,20-Jul-26
N,205437,1,NPP,25-Apr-27
N,205437,1,ODE-248,19-Jul-26
N,205437,2,M-299,20-Jul-26
N,205437,2,NPP,25-Apr-27
N,205437,2,ODE-248,19-Jul-26
N,205437,3,M-299,20-Jul-26
N,205437,3,NPP,25-Apr-27
N,205437,3,ODE-248,19-Jul-26
N,205551,1,M-294,15-Jun-26
N,205552,1,NPP,24-Aug-25
N,205552,1,ODE-405,24-Aug-29
N,205552,2,NPP,24-Aug-25
N,205552,2,ODE-405,24-Aug-29
N,205596,1,NPP,27-Jan-29
N,205596,1,ODE-355,17-Jun-28
N,205625,3,M-290,01-Mar-26
N,205649,1,NPP,12-Jun-27
N,205649,2,NPP,12-Jun-27
N,205649,3,NPP,12-Jun-27
N,205649,4,NPP,12-Jun-27
N,205649,5,NPP,12-Jun-27
N,205677,1,ODE-330,01-Dec-27
N,205739,1,NPP,02-Oct-26
N,205739,2,NPP,02-Oct-26
N,205739,3,NPP,02-Oct-26
N,205739,4,NS,02-Oct-26
A,205742,1,PC,15-Apr-26
N,205832,1,ODE-261,06-Sep-26
N,205832,2,ODE-261,06-Sep-26
N,205834,1,ODE*,28-Aug-26
N,205834,2,ODE*,28-Aug-26
N,205879,1,NPP,18-Dec-27
N,205879,2,NPP,18-Dec-27
N,205879,3,NPP,18-Dec-27
N,205879,4,NPP,18-Dec-27
N,206111,1,NPP,20-Jun-26
N,206111,2,NPP,20-Jun-26
N,206111,3,NPP,20-Jun-26
N,206111,4,NPP,20-Jun-26
N,206192,1,M-278,28-Jul-25
N,206192,1,ODE-416,28-Oct-29
N,206229,1,I-917,29-Jun-26
N,206316,1,M-14,18-Oct-26
N,206316,2,M-14,18-Oct-26
N,206316,3,M-14,18-Oct-26
N,206494,1,NPP,26-Jan-27
N,206709,1,ODE-403,14-Jul-29
N,206709,2,ODE-403,14-Jul-29
N,206947,1,M-14,03-Apr-27
N,206947,1,ODE-196,15-Aug-25
N,206947,2,M-14,03-Apr-27
N,206947,2,ODE-196,15-Aug-25
N,207103,1,M-14,16-Sep-28
N,207103,2,M-14,16-Sep-28
N,207103,3,M-14,16-Sep-28
N,207223,1,ODE-403,14-Jul-29
N,207223,2,ODE-403,14-Jul-29
N,207356,1,ODE-214,28-Sep-25
N,207500,1,NPP,08-Dec-26
N,207500,1,ODE-305,06-Mar-22
N,207500,1,ODE-454,08-Dec-30
N,207500,1,ODE-458,08-Dec-30
N,207500,1,ODE-90,06-Mar-22
N,207500,2,NPP,08-Dec-26
N,207500,2,ODE*,06-Mar-22
N,207500,2,ODE-454,08-Dec-30
N,207500,2,ODE-458,08-Dec-30
N,207501,1,NPP,08-Dec-26
N,207501,1,ODE-305,06-Mar-22
N,207501,1,ODE-453,08-Dec-30
N,207501,1,ODE-459,08-Dec-30
N,207501,1,ODE-90,06-Mar-22
N,207695,1,D-191,03-Apr-26
N,207793,1,I-932,13-Feb-27
N,207793,1,ODE-463,13-Feb-31
N,207925,1,M-14,22-May-28
N,207925,1,ODE-236,29-Apr-26
N,207925,1,ODE-338,21-Dec-27
N,207925,2,M-14,22-May-28
N,207925,2,ODE-236,29-Apr-26
N,207925,2,ODE-338,21-Dec-27
N,207925,3,M-14,22-May-28
N,207925,3,ODE-236,29-Apr-26
N,207925,3,ODE-338,21-Dec-27
N,207925,4,M-14,22-May-28
N,207925,4,NPP,03-May-26
N,207925,4,ODE-435,03-May-30
N,207925,5,M-14,22-May-28
N,207925,5,NPP,03-May-26
N,207925,5,ODE-435,03-May-30
N,207981,1,ODE-229,22-Feb-26
N,207981,2,ODE-229,22-Feb-26
N,208026,1,M-295,20-Jun-26
N,208026,2,M-295,20-Jun-26
N,208030,1,ODE-417,30-Apr-28
N,208030,1,ODE-418,30-Apr-28
N,208030,1,ODE-419,30-Apr-28
N,208030,2,ODE-417,30-Apr-28
N,208030,2,ODE-418,30-Apr-28
N,208030,2,ODE-419,30-Apr-28
N,208065,1,I-941,16-Feb-27
N,208065,1,I-952,25-Sep-27
N,208065,1,ODE-337,18-Dec-27
N,208065,2,I-941,16-Feb-27
N,208065,2,I-952,25-Sep-27
N,208065,2,ODE-337,18-Dec-27
N,208081,1,D-194,04-Oct-27
N,208215,1,M-316,20-Jun-28
N,208215,2,M-316,20-Jun-28
N,208215,2,ODE-457,07-Jan-29
N,208232,1,ODE-474,26-Jun-27
N,208288,1,M-292,20-Jan-26
N,208341,1,ODE-293,19-Mar-27
N,208341,2,ODE-293,19-Mar-27
N,208434,1,I-947,18-Apr-27
N,208434,1,ODE-477,18-Apr-31
N,208447,1,ODE-277,23-Oct-26
N,208447,1,ODE-295,29-Apr-27
N,208558,1,I-914,31-May-26
N,208558,1,ODE-283,27-Dec-26
N,208558,1,ODE-306,08-May-27
N,208558,2,I-914,31-May-26
N,208558,2,ODE-283,27-Dec-26
N,208558,2,ODE-306,08-May-27
N,208573,1,ODE-239,15-May-26
N,208573,2,ODE-239,15-May-26
N,208573,3,ODE-239,15-May-26
N,208610,1,NCE,19-Jun-22
N,208611,1,NCE,19-Jun-22
N,208658,1,M-296,20-Jun-26
N,208658,2,M-296,20-Jun-26
N,208658,3,M-296,20-Jun-26
N,208658,4,M-296,20-Jun-26
N,208684,1,ODE-252,07-Jun-26
N,208684,2,ODE-252,07-Jun-26
N,208684,3,ODE-252,07-Jun-26
N,208684,4,ODE-252,07-Jun-26
N,208685,1,ODE-252,07-Jun-26
N,208692,1,ODE-227,14-Jan-26
N,208692,1,ODE-375,17-Sep-28
N,208692,2,ODE-227,14-Jan-26
N,208692,2,ODE-375,17-Sep-28
N,208692,3,ODE-227,14-Jan-26
N,208692,3,ODE-375,17-Sep-28
N,208700,1,NPP,23-Apr-27
N,208700,1,ODE-479,23-Apr-31
N,208711,1,ODE-228,13-Feb-26
N,208712,1,NCE,28-Feb-27
N,208712,1,ODE-397,28-Feb-29
N,208742,1,NPP,07-Apr-28
N,208772,1,ODE-300,22-May-27
N,208772,2,ODE-300,22-May-27
N,208772,3,ODE-300,22-May-27
N,208969,1,NP,07-Mar-26
A,208977,1,CGT,08-Feb-26
N,209022,1,I-940,15-Mar-27
N,209092,1,I-950,17-Sep-27
N,209115,1,I-982,17-Dec-28
N,209115,2,I-982,17-Dec-28
N,209115,3,I-982,17-Dec-28
N,209241,1,I-925,18-Aug-26
N,209241,1,ODE-440,18-Aug-30
N,209241,2,I-925,18-Aug-26
N,209241,2,ODE-440,18-Aug-30
N,209241,3,I-925,18-Aug-26
N,209241,3,ODE-440,18-Aug-30
N,209363,1,NCE,15-Sep-22
N,209394,1,I-967,10-Jun-28
N,209394,1,ODE-232,30-Apr-26
N,209394,1,ODE-233,30-Apr-26
N,209394,1,ODE-372,10-Jun-28
N,209401,1,ODE-350,30-Mar-28
N,209445,1,NCE,14-Nov-24
N,209471,1,NP,01-Mar-26
N,209500,1,I-904,05-Nov-28
N,209500,2,I-904,05-Nov-28
N,209500,3,I-904,05-Nov-28
N,209569,1,ODE-282,20-Dec-26
N,209637,1,I-961,28-Jan-28
N,209637,2,I-961,28-Jan-28
N,209637,3,I-961,28-Jan-28
N,209637,4,I-961,28-Jan-28
N,209776,1,NCE,29-Aug-22
N,209816,1,NCE,02-Oct-23
N,209817,1,NCE,02-Oct-23
N,209819,1,M-314,21-Feb-28
N,209819,2,M-314,21-Feb-28
N,209899,1,M-309,30-Aug-27
N,209899,2,M-309,30-Aug-27
N,209899,3,M-309,30-Aug-27
N,209935,1,I-951,17-Sep-27
N,209939,1,D-189,02-Aug-26
N,209939,1,I-916,05-Jun-26
N,209939,1,NPP,30-Aug-27
N,209939,1,ODE-423,05-Jun-30
N,209939,1,ODE-495,30-Aug-31
N,209939,1,ODE-497,30-Aug-31
N,209939,2,D-189,02-Aug-26
N,209939,2,I-916,05-Jun-26
N,209939,2,NPP,30-Aug-27
N,209939,2,ODE-423,05-Jun-30
N,209939,2,ODE-495,30-Aug-31
N,209939,2,ODE-497,30-Aug-31
N,209940,1,D-189,02-Aug-26
N,209940,1,I-916,05-Jun-26
N,209940,1,NPP,30-Aug-27
N,209940,1,ODE-423,05-Jun-30
N,209940,1,ODE-495,30-Aug-31
N,209940,1,ODE-497,30-Aug-31
N,209940,2,D-189,02-Aug-26
N,209940,2,I-916,05-Jun-26
N,209940,2,NPP,30-Aug-27
N,209940,2,ODE-423,05-Jun-30
N,209940,2,ODE-495,30-Aug-31
N,209940,2,ODE-497,30-Aug-31
N,209964,1,ODE-234,22-Apr-26
N,210115,1,ODE-360,16-Jul-28
N,210115,2,ODE-360,16-Jul-28
N,210136,1,NP,23-May-26
N,210136,2,NP,23-May-26
N,210136,3,NP,23-May-26
N,210136,4,NP,23-May-26
N,210136,5,NP,23-May-26
N,210136,6,NP,23-May-26
N,210136,7,NP,23-May-26
N,210166,1,M-14,10-Jul-28
N,210166,2,M-14,10-Jul-28
N,210238,1,I-974,24-Jul-28
N,210238,1,ODE-246,26-Jun-26
N,210251,1,I-942,23-Feb-27
N,210251,1,M-305,24-Apr-27
N,210251,1,ODE-256,18-Jun-26
N,210251,1,ODE-468,23-Feb-31
N,210251,2,I-942,23-Feb-27
N,210251,2,ODE-378,07-Oct-28
N,210251,2,ODE-468,23-Feb-31
N,210259,1,I-960,16-Jan-28
N,210259,1,ODE-274,21-Nov-26
N,210303,1,NCE,25-Jun-23
N,210365,1,M-270,20-Oct-26
N,210365,1,ODE-326,31-Jul-27
N,210365,1,ODE-332,31-Jul-27
N,210491,1,ODE-247,21-Jun-26
N,210491,1,ODE-335,21-Dec-27
N,210491,2,ODE-247,21-Jun-26
N,210491,2,ODE-335,21-Dec-27
N,210496,1,I-928,11-Oct-26
N,210496,1,I-957,20-Dec-27
N,210496,1,ODE-445,11-Oct-30
N,210496,2,I-928,11-Oct-26
N,210496,2,I-957,20-Dec-27
N,210496,2,ODE-445,11-Oct-30
N,210498,1,I-928,11-Oct-26
N,210563,1,NPP,24-Aug-25
N,210563,1,ODE-405,24-Aug-29
N,210563,2,NPP,24-Aug-25
N,210563,2,ODE-405,24-Aug-29
N,210563,3,NPP,24-Aug-25
N,210563,3,ODE-405,24-Aug-29
N,210563,4,NPP,24-Aug-25
N,210563,4,ODE-405,24-Aug-29
N,210745,1,M-299,20-Jul-26
N,210745,1,ODE*,19-Jul-26
N,210797,1,ODE-270,08-Oct-26
N,210828,1,ODE-383,21-Aug-26
N,210828,1,W,21-Aug-26
N,210854,1,M-187,19-Dec-27
N,210854,2,M-187,19-Dec-27
N,210854,3,M-187,19-Dec-27
N,210858,1,NP,16-Dec-28
N,210858,2,NP,16-Dec-28
N,210858,3,NP,16-Dec-28
N,210858,4,NP,16-Dec-28
N,210867,1,NPP,07-Feb-28
N,210868,1,ODE-349,03-Mar-28
N,210868,2,ODE-349,03-Mar-28
N,210910,1,NCE,16-Nov-23
N,210922,1,M-270,13-Jan-26
N,211109,1,NCE,27-Aug-23
N,211109,2,NCE,27-Aug-23
N,211150,1,NPP,21-Jun-27
N,211150,1,ODE-255,14-Aug-26
N,211150,1,ODE-331,13-Oct-27
N,211150,1,ODE-489,21-Jun-31
N,211150,2,NPP,21-Jun-27
N,211150,2,ODE-255,14-Aug-26
N,211150,2,ODE-331,13-Oct-27
N,211150,2,ODE-489,21-Jun-31
N,211192,1,I-924,24-Oct-26
N,211192,1,ODE-242,02-May-26
N,211192,1,ODE-368,25-Aug-28
N,211192,1,ODE-447,24-Oct-30
A,211220,1,CGT,12-May-26
A,211220,2,CGT,09-May-26
A,211220,3,CGT,09-May-26
N,211230,1,ODE-254,17-Jun-26
N,211230,2,ODE-254,17-Jun-26
N,211241,1,NCE,12-Jan-31
N,211243,1,I-959,17-Jan-28
N,211321,1,ODE-243,17-May-26
N,211358,1,M-14,13-Dec-27
N,211358,1,ODE-408,02-Sep-29
N,211358,2,M-14,13-Dec-27
N,211358,2,ODE-408,02-Sep-29
N,211358,3,M-14,13-Dec-27
N,211358,3,ODE-408,02-Sep-29
N,211379,1,ODE-271,03-Oct-26
N,211580,1,I-911,05-Jun-26
N,211616,1,I-943,22-Mar-27
N,211616,1,I-944,22-Mar-27
N,211617,1,I-943,22-Mar-27
N,211617,1,I-945,22-Mar-27
N,211635,1,NPP,15-Apr-28
N,211635,1,ODE-279,10-Jan-27
N,211635,2,NPP,15-Apr-28
N,211635,2,ODE-279,10-Jan-27
N,211635,3,NPP,15-Apr-28
N,211635,3,ODE-279,10-Jan-27
N,211651,1,I-920,20-Jun-26
N,211651,3,I-920,20-Jun-26
N,211651,5,I-920,20-Jun-26
N,211672,1,NCE,19-Aug-24
N,211673,1,NCE,19-Aug-24
N,211675,1,I-919,18-May-26
N,211675,1,I-946,26-Apr-27
N,211675,1,I-966,28-Apr-28
N,211675,1,NPP,26-Apr-27
N,211675,1,ODE-481,26-Apr-31
N,211675,2,I-919,18-May-26
N,211675,2,I-946,26-Apr-27
N,211675,2,NPP,26-Apr-27
N,211675,2,ODE-481,26-Apr-31
N,211675,3,I-919,18-May-26
N,211675,3,I-946,26-Apr-27
N,211675,3,NPP,26-Apr-27
N,211675,3,ODE-481,26-Apr-31
N,211723,1,ODE-299,23-Jan-27
N,211723,1,ODE-314,18-Jun-27
N,211728,1,ODE-289,15-Apr-27
N,211810,1,ODE-250,02-Aug-26
N,211810,2,ODE*,02-Aug-26
N,211843,1,ODE*,28-Jun-26
N,211843,2,ODE*,28-Jun-26
N,211964,1,NCE,02-Apr-26
N,211964,2,NCE,02-Apr-26
N,211964,3,NCE,02-Apr-26
N,211970,1,ODE-280,12-Dec-26
N,211988,1,I-933,23-Jan-27
N,211988,2,I-933,23-Jan-27
N,211988,3,I-933,23-Jan-27
N,211988,4,I-933,23-Jan-27
N,211994,1,NPP,05-Apr-27
N,211996,1,ODE-237,03-May-26
N,212018,1,I-930,19-Jan-27
N,212018,2,I-930,19-Jan-27
N,212018,3,I-930,19-Jan-27
N,212028,1,M-293,20-Apr-26
N,212028,2,M-293,20-Apr-26
N,212099,1,I-971,03-Jun-28
N,212102,1,ODE-312,25-Jun-27
N,212102,1,ODE-393,25-Mar-29
N,212154,1,ODE-280,12-Aug-27
N,212161,1,ODE-237,03-May-26
N,212194,1,ODE-273,20-Nov-26
N,212269,1,ODE-417,30-Apr-28
N,212269,1,ODE-420,30-Apr-28
N,212269,1,ODE-421,30-Apr-28
N,212271,1,NP,22-Oct-28
N,212273,1,M-313,20-Dec-27
N,212273,1,ODE-275,21-Oct-26
N,212273,1,ODE-323,21-Dec-27
N,212273,1,ODE-357,08-Jun-28
N,212273,1,ODE-512,20-Dec-31
N,212273,2,M-313,20-Dec-27
N,212273,2,ODE*,21-Dec-27
N,212273,2,ODE*,21-Oct-26
N,212273,2,ODE-357,08-Jun-28
N,212273,2,ODE-512,20-Dec-31
N,212306,1,ODE-257,03-Jul-26
N,212306,1,ODE-310,22-Jun-27
N,212306,1,ODE-346,18-Dec-27
N,212306,2,ODE*,22-Jun-27
N,212306,2,ODE*,18-Dec-27
N,212306,2,ODE*,03-Jul-26
N,212306,3,ODE*,18-Dec-27
N,212306,3,ODE*,03-Jul-26
N,212306,3,ODE*,22-Jun-27
N,212306,4,ODE*,03-Jul-26
N,212306,4,ODE*,22-Jun-27
N,212306,4,ODE*,18-Dec-27
N,212306,5,ODE*,03-Jul-26
N,212306,5,ODE*,22-Jun-27
N,212306,5,ODE*,18-Dec-27
N,212306,6,ODE*,03-Jul-26
N,212306,6,ODE*,18-Dec-27
N,212320,1,NPP,19-Dec-28
N,212327,1,ODE-259,16-Aug-26
N,212436,1,M-14,16-Sep-28
N,212436,2,M-14,16-Sep-28
N,212436,3,M-14,16-Sep-28
N,212480,1,ODE-258,28-Aug-26
N,212480,2,ODE-258,28-Aug-26
N,212526,1,I-937,18-Jan-27
N,212526,2,I-937,18-Jan-27
N,212526,3,I-937,18-Jan-27
A,212559,2,CGT,07-Feb-26
A,212559,3,CGT,07-Feb-26
N,212576,1,ODE-316,07-Jul-27
N,212608,1,ODE-356,16-Jun-28
N,212608,1,ODE-366,09-Jan-27
