Appl_Type,Appl_No,Product_No,Exclusivity_Code,Exclusivity_Date
N,212608,1,ODE-434,22-May-30
N,212608,2,ODE-356,16-Jun-28
N,212608,2,ODE-366,09-Jan-27
N,212608,2,ODE-434,22-May-30
N,212608,3,ODE-356,16-Jun-28
N,212608,3,ODE-366,09-Jan-27
N,212608,3,ODE-434,22-May-30
N,212608,4,I-912,22-May-26
N,212608,4,ODE-356,16-Jun-28
N,212608,4,ODE-366,09-Jan-27
N,212608,4,ODE-434,22-May-30
N,212608,5,ODE-356,16-Jun-28
N,212608,5,ODE-366,09-Jan-27
N,212608,5,ODE-434,22-May-30
N,212690,1,ODE-361,21-Jul-27
N,212690,1,ODE-369,12-Aug-28
N,212725,1,NPP,20-Oct-26
N,212725,1,ODE-265,15-Aug-26
N,212725,1,ODE-313,15-Aug-26
N,212725,1,ODE-448,20-Oct-30
N,212725,2,NPP,20-Oct-26
N,212725,2,ODE-265,15-Aug-26
N,212725,2,ODE-313,15-Aug-26
N,212725,2,ODE-448,20-Oct-30
N,212801,1,ODE-286,06-Mar-27
N,212801,2,ODE-286,06-Mar-27
N,212801,3,ODE-286,06-Mar-27
N,212819,1,NCE,16-Jul-24
N,212819,1,NPP,09-Dec-28
N,212862,1,NCE,14-Aug-24
N,212862,1,ODE-253,14-Aug-26
N,212887,1,NCE,21-Jan-26
N,212888,1,NCE,21-Jan-26
N,212888,2,NCE,21-Jan-26
N,212904,1,NCE,10-Mar-26
N,212904,2,NCE,10-Mar-26
N,212905,1,NCE,21-Jul-28
N,212937,1,ODE-384,20-Sep-29
N,212994,1,NCE,07-May-26
N,212994,2,NCE,07-May-26
N,212994,3,NCE,07-May-26
N,213004,1,NP,01-Nov-22
N,213005,1,NP,23-May-28
N,213005,2,NP,23-May-28
N,213005,3,NP,23-May-28
N,213005,4,NP,23-May-28
N,213006,1,I-955,18-Dec-27
N,213026,1,NCE,25-Feb-26
N,213026,1,ODE-347,25-Feb-28
N,213036,1,ODE-290,26-May-27
N,213051,1,I-976,17-Oct-28
N,213051,2,I-976,17-Oct-28
N,213051,3,I-976,17-Oct-28
N,213051,4,I-976,17-Oct-28
N,213051,5,I-976,17-Oct-28
N,213051,6,I-976,17-Oct-28
N,213082,1,M-14,21-Feb-28
N,213137,1,ODE-281,25-Nov-26
N,213137,1,ODE-394,17-Dec-28
N,213137,2,ODE-394,17-Dec-28
N,213138,1,ODE-367,24-Jan-27
A,213154,1,PC,14-Feb-26
N,213176,1,NCE,05-Feb-26
N,213189,1,D-192,07-Jun-27
N,213217,1,I-817,19-Jan-26
N,213217,1,I-936,07-Mar-27
N,213217,1,ODE-274,19-Jan-30
N,213217,1,ODE-276,14-Nov-26
N,213217,1,ODE-370,14-Sep-28
N,213217,1,ODE-371,31-Aug-28
N,213217,1,ODE-467,07-Mar-31
N,213227,1,ODE-317,03-Sep-27
N,213246,1,M-311,27-Sep-27
N,213246,1,M-312,27-Sep-27
N,213246,1,NPP,29-May-27
N,213246,1,ODE-301,08-May-27
N,213246,1,ODE-302,08-May-27
N,213246,1,ODE-303,08-May-27
N,213246,1,ODE-409,21-Sep-29
N,213246,1,ODE-412,21-Sep-29
N,213246,1,ODE-484,29-May-31
N,213246,1,ODE-485,29-May-31
N,213246,1,ODE-487,29-May-31
N,213246,2,M-311,27-Sep-27
N,213246,2,M-312,27-Sep-27
N,213246,2,NPP,29-May-27
N,213246,2,ODE-301,08-May-27
N,213246,2,ODE-302,08-May-27
N,213246,2,ODE-303,08-May-27
N,213246,2,ODE-409,21-Sep-29
N,213246,2,ODE-412,21-Sep-29
N,213246,2,ODE-484,29-May-31
N,213246,2,ODE-485,29-May-31
N,213246,2,ODE-487,29-May-31
N,213312,1,ODE-386,22-Nov-28
N,213378,1,NCE,28-May-26
N,213378,2,NCE,28-May-26
N,213378,3,NCE,28-May-26
N,213378,4,NCE,28-May-26
N,213411,1,I-906,19-Jan-26
N,213411,1,ODE-309,17-Apr-27
N,213411,1,ODE-422,19-Jan-30
N,213411,2,I-906,19-Jan-26
N,213411,2,ODE-309,17-Apr-27
N,213411,2,ODE-422,19-Jan-30
N,213464,1,ODE-319,06-Aug-27
N,213464,2,ODE-319,06-Aug-27
N,213478,1,ODE-391,22-Mar-29
N,213498,1,NCE,18-Mar-26
N,213498,2,NCE,18-Mar-26
N,213498,3,NCE,18-Mar-26
N,213498,4,NCE,18-Mar-26
N,213498,5,NCE,18-Mar-26
N,213498,6,NCE,18-Mar-26
N,213498,7,NCE,18-Mar-26
N,213498,8,NCE,18-Mar-26
N,213498,9,NCE,18-Mar-26
N,213498,10,NCE,18-Mar-26
N,213535,1,M-270,03-Oct-26
N,213535,1,ODE-334,07-Aug-27
N,213535,1,ODE-400,27-May-29
N,213586,1,NP,28-Apr-26
N,213586,2,NP,28-Apr-26
N,213586,3,NP,28-Apr-26
N,213586,4,NP,28-Apr-26
N,213586,5,NP,28-Apr-26
N,213586,6,NP,28-Apr-26
N,213586,7,NP,28-Apr-26
N,213591,1,ODE-291,06-May-27
N,213591,2,ODE-291,06-May-27
N,213674,1,I-926,17-Nov-26
N,213674,2,I-926,17-Nov-26
N,213687,1,ODE-311,30-Jun-27
N,213702,1,I-977,02-Oct-28
N,213702,1,ODE-304,15-Jun-27
N,213716,1,NCE,22-Jan-26
N,213721,1,ODE-318,04-Sep-27
N,213721,1,ODE-340,01-Dec-27
N,213721,1,ODE-341,01-Dec-27
N,213736,1,ODE-292,17-Apr-27
N,213736,1,ODE-404,26-Aug-29
N,213736,2,ODE-292,17-Apr-27
N,213736,2,ODE-404,26-Aug-29
N,213736,3,ODE-292,17-Apr-27
N,213736,3,ODE-404,26-Aug-29
N,213756,1,NPP,19-Nov-28
N,213756,1,NPP,10-Sep-28
N,213756,1,ODE-288,10-Apr-27
N,213756,2,NPP,19-Nov-28
N,213756,2,NPP,10-Sep-28
N,213756,2,ODE-288,10-Apr-27
N,213793,1,NPP,20-Dec-27
N,213793,1,ODE-336,25-Nov-27
N,213793,1,ODE-402,16-Jun-29
N,213793,1,ODE-508,20-Dec-31
N,213793,1,ODE-509,20-Dec-31
N,213871,1,NCE,14-Jan-27
N,213871,1,NPP,09-Feb-26
N,213871,2,NCE,14-Jan-27
N,213871,2,NPP,09-Feb-26
N,213871,3,NCE,14-Jan-27
N,213871,3,NPP,09-Feb-26
N,213931,1,NP,17-Oct-26
N,213931,2,NP,17-Oct-26
N,213931,3,NP,17-Oct-26
N,213969,1,ODE-324,20-Nov-27
N,213969,2,ODE-324,20-Nov-27
N,213972,1,NCE,25-Oct-29
N,213973,1,ODE-298,15-May-27
N,213976,1,NP,09-Feb-27
N,213976,1,ODE-466,09-Feb-31
N,214012,1,I-985,12-Feb-29
N,214012,1,NCE,22-Dec-26
N,214012,1,NPP,12-Feb-29
N,214018,1,NCE,26-Feb-26
N,214018,1,ODE-342,26-Feb-28
A,214023,1,CGT,15-Apr-26
A,214023,2,CGT,15-Apr-26
A,214025,1,CGT,15-Apr-26
A,214025,2,CGT,15-Apr-26
A,214025,3,CGT,15-Apr-26
N,214028,1,D-187,28-Mar-26
N,214056,1,NP,03-Feb-28
N,214070,1,M-317,15-Sep-28
N,214070,1,NP,10-Jan-26
N,214094,1,ODE-333,03-Dec-27
N,214094,2,ODE-333,03-Dec-27
N,214096,1,NCE,03-Feb-26
N,214096,1,ODE-325,03-Feb-28
N,214103,1,ODE-339,23-Nov-27
N,214103,1,ODE-415,06-Oct-29
N,214120,1,ODE-320,01-Sep-27
N,214120,2,ODE-320,01-Sep-27
N,214133,1,NCE*,30-Dec-26
N,214133,1,ODE-385,30-Dec-28
N,214154,1,NCE,15-Apr-26
N,214187,1,ODE-376,10-Jun-28
N,214187,2,ODE*,19-Mar-27
N,214200,1,NCE,12-Feb-26
N,214231,1,NCE,22-Mar-26
N,214231,2,NCE,22-Mar-26
A,214331,2,PC,07-Jan-26
N,214373,1,NCE,20-Jan-28
N,214375,1,NCE,23-Dec-27
N,214377,1,D-198,21-Jan-29
N,214377,1,NCE,19-Jan-26
N,214377,2,D-198,21-Jan-29
N,214377,2,NCE,19-Jan-26
N,214377,3,D-198,21-Jan-29
N,214377,3,NCE,19-Jan-26
N,214410,1,M-187,19-Dec-27
N,214429,1,NCE,16-Jul-26
N,214429,1,ODE-359,16-Jul-28
N,214460,1,ODE-354,04-Jun-28
N,214461,1,ODE-354,04-Jun-28
N,214487,1,NCE,07-Oct-26
N,214487,1,ODE-377,07-Oct-28
N,214511,1,NCE,17-Apr-29
N,214517,1,ODE-329,01-Dec-27
N,214520,1,NCE,15-Nov-28
N,214520,2,NCE,15-Nov-28
A,214568,1,PC,24-Feb-26
N,214622,1,NCE,28-May-26
N,214622,1,ODE-353,28-May-28
N,214622,2,NCE,28-May-26
N,214622,2,ODE-353,28-May-28
N,214662,1,I-938,13-Mar-27
N,214662,1,NCE,29-Sep-26
N,214662,1,NPP,13-Mar-26
N,214662,1,ODE-379,29-Sep-28
N,214662,1,ODE-429,13-Mar-30
N,214662,1,ODE-471,13-Mar-31
N,214662,2,NCE,29-Sep-26
N,214662,2,ODE*,13-Mar-31
N,214662,2,ODE*,13-Mar-30
N,214662,2,ODE*,29-Sep-28
N,214662,2,ODE-490,24-Jul-31
N,214665,1,I-962,16-Jan-28
N,214665,1,NCE,28-May-26
N,214665,1,ODE-352,28-May-28
N,214665,1,ODE-507,16-Jan-32
N,214665,2,I-962,16-Jan-28
N,214665,2,NCE,28-May-26
N,214665,2,ODE-352,28-May-28
N,214665,2,ODE-507,16-Jan-32
N,214665,3,I-962,16-Jan-28
N,214665,3,NCE,28-May-26
N,214665,3,ODE*,28-May-28
N,214665,3,ODE-507,16-Jan-32
N,214755,1,NP,01-May-26
N,214755,1,ODE-431,01-May-30
N,214755,1,ODE-494,16-Oct-31
N,214755,2,NP,01-May-26
N,214755,2,ODE-431,01-May-30
N,214755,2,ODE-494,16-Oct-31
N,214755,3,NP,01-May-26
N,214755,3,ODE-431,01-May-30
N,214755,3,ODE-494,16-Oct-31
N,214755,4,NP,01-May-26
N,214755,4,ODE-431,01-May-30
N,214755,4,ODE-494,16-Oct-31
N,214759,1,NCE,21-Jan-30
N,214759,1,ODE-513,21-Jan-32
N,214759,1,ODE-514,21-Jan-32
N,214759,2,NCE,21-Jan-30
N,214759,2,ODE-513,21-Jan-32
N,214759,2,ODE-514,21-Jan-32
N,214770,1,I-984,27-Jan-29
N,214783,1,NCE,16-Jul-26
N,214783,1,ODE-362,16-Jul-28
N,214787,1,M-301,13-Jul-26
N,214787,1,NCE,22-Oct-25
N,214787,2,M-301,13-Jul-26
N,214787,2,NCE,22-Oct-25
N,214793,1,NCE,26-May-26
N,214801,1,NCE,30-Sep-27
N,214801,1,ODE-410,30-Sep-29
N,214801,2,NCE,30-Sep-27
N,214801,2,ODE*,30-Sep-29
N,214835,1,NP,29-Mar-27
N,214835,2,NP,29-Mar-27
N,214846,1,M-289,27-Jan-26
N,214900,1,NCE,01-Jun-26
N,214907,1,NCE,29-Nov-26
N,214907,1,ODE-390,29-Nov-28
N,214916,1,NCE,23-Aug-26
N,214927,1,NCE,20-Sep-29
N,214927,1,ODE-496,20-Sep-31
N,214927,2,NCE,20-Sep-29
N,214927,2,ODE-496,20-Sep-31
N,214927,3,NCE,20-Sep-29
N,214927,3,ODE-496,20-Sep-31
N,214927,4,NCE,20-Sep-29
N,214927,4,ODE-496,20-Sep-31
N,214938,1,NCE,19-Nov-26
N,214938,1,NPP,20-Oct-26
N,214938,1,ODE-387,19-Nov-28
N,214938,1,ODE-449,20-Oct-30
N,214938,2,NCE,19-Nov-26
N,214938,2,NPP,20-Oct-26
N,214938,2,ODE-387,19-Nov-28
N,214938,2,ODE-449,20-Oct-30
N,214938,3,NCE,19-Nov-26
N,214938,3,NPP,20-Oct-26
N,214938,3,ODE-387,19-Nov-28
N,214938,3,ODE-449,20-Oct-30
N,214958,1,NCE,09-Sep-27
N,214965,1,ODE-358,23-Jun-28
N,214985,1,M-200,30-Sep-27
N,214985,1,M-310,30-Sep-27
N,214985,1,NCE,07-Apr-27
N,214985,2,M-200,30-Sep-27
N,214985,2,M-310,30-Sep-27
N,214985,2,NCE,07-Apr-27
N,214998,1,M-297,15-Jun-26
N,214998,1,NCE,28-Apr-27
N,214998,1,ODE-398,28-Apr-29
N,214998,2,M-297,15-Jun-26
N,214998,2,NCE,28-Apr-27
N,214998,2,ODE-398,28-Apr-29
N,214998,3,M-297,15-Jun-26
N,214998,3,NCE,28-Apr-27
N,214998,3,ODE-398,28-Apr-29
N,214998,4,M-297,15-Jun-26
N,214998,4,NCE,28-Apr-27
N,214998,4,ODE-398,28-Apr-29
N,215014,1,I-972,28-Jul-28
N,215014,1,M-288,08-Feb-26
N,215014,1,NCE,14-May-26
N,215014,1,ODE-351,14-May-28
N,215029,1,NP,24-Sep-28
N,215039,1,ODE-396,05-Apr-29
N,215039,2,ODE-396,05-Apr-29
N,215039,3,ODE-396,05-Apr-29
N,215040,1,NP,13-Feb-27
N,215040,2,NP,13-Feb-27
N,215064,1,NCE,18-Dec-28
N,215064,1,ODE-460,18-Dec-30
N,215092,1,NCE,22-Sep-27
N,215110,1,I-967,10-Jun-28
N,215110,1,ODE-372,10-Jun-28
N,215151,1,I-948,17-Jul-27
N,215151,1,NCE,03-May-27
N,215151,1,NP,01-Nov-26
N,215151,2,NCE,03-May-27
N,215151,2,NP,01-Nov-26
N,215152,1,NCE,03-May-27
N,215153,1,NCE,03-May-27
N,215168,1,NCE,27-Sep-29
N,215192,1,NCE,27-Mar-29
N,215192,2,NCE,27-Mar-29
N,215192,3,NCE,27-Mar-29
N,215206,1,I-909,17-Apr-26
N,215206,1,NCE,28-Sep-26
N,215206,2,I-909,17-Apr-26
N,215206,2,NCE,28-Sep-26
N,215206,3,I-909,17-Apr-26
N,215206,3,NCE,28-Sep-26
N,215211,1,NP,28-Sep-26
N,215239,1,NCE,26-Oct-28
N,215239,1,ODE-450,26-Oct-30
N,215244,1,NCE,19-Sep-30
N,215256,1,I-935,08-Mar-27
N,215256,1,I-973,15-Aug-28
N,215256,2,I-935,08-Mar-27
N,215256,2,I-973,15-Aug-28
N,215256,3,I-935,08-Mar-27
N,215256,3,I-973,15-Aug-28
N,215256,4,D-190,21-Jul-26
N,215256,4,I-935,08-Mar-27
N,215256,4,I-973,15-Aug-28
N,215256,5,I-935,08-Mar-27
N,215256,5,I-973,15-Aug-28
N,215272,1,I-956,12-Dec-27
N,215272,1,NCE,23-May-27
N,215309,1,I-896,18-Jul-25
N,215309,1,NPP,18-Sep-28
N,215310,1,NCE,15-Sep-26
N,215310,1,ODE-374,15-Sep-28
N,215320,1,NP,17-Oct-26
N,215341,1,I-970,11-Jul-28
N,215341,1,NCE,09-Jul-26
N,215341,2,I-970,11-Jul-28
N,215341,2,NCE,09-Jul-26
N,215341,3,NCE,09-Jul-26
N,215341,3,NS,11-Jul-28
N,215344,1,NP,15-Jun-26
N,215352,1,NP,05-May-26
N,215358,1,I-953,29-Oct-27
N,215358,1,I-954,29-Oct-27
N,215358,1,M-318,02-Oct-28
N,215358,1,NCE,29-Oct-26
N,215358,1,ODE-381,29-Oct-28
N,215358,1,ODE-382,29-Oct-28
N,215358,1,ODE-499,29-Oct-31
N,215358,1,ODE-500,29-Oct-31
N,215358,2,I-953,29-Oct-27
N,215358,2,I-954,29-Oct-27
N,215358,2,M-318,02-Oct-28
N,215358,2,NCE,29-Oct-26
N,215358,2,ODE-381,29-Oct-28
N,215358,2,ODE-382,29-Oct-28
N,215358,2,ODE-499,29-Oct-31
N,215358,2,ODE-500,29-Oct-31
N,215358,3,M-318,02-Oct-28
N,215358,3,NCE,29-Oct-26
N,215358,3,ODE*,29-Oct-28
N,215383,1,I-931,14-Dec-26
N,215383,1,I-968,14-May-28
N,215383,1,NCE,13-Aug-26
N,215383,1,ODE-364,13-Aug-28
N,215390,1,M-82,19-Nov-28
N,215390,2,M-82,19-Nov-28
N,215413,1,NPP,15-Jun-26
N,215431,1,NP,30-Jan-28
N,215446,1,ODE-144,12-May-29
N,215487,1,NP,19-Apr-27
N,215498,1,I-918,13-Jun-26
N,215498,1,NCE,20-Jul-26
N,215498,1,ODE-363,20-Jul-28
N,215498,1,ODE-436,13-Jun-30
N,215498,2,I-918,13-Jun-26
N,215498,2,NCE,20-Jul-26
N,215498,2,ODE-363,20-Jul-28
N,215498,2,ODE-436,13-Jun-30
N,215498,3,I-918,13-Jun-26
N,215498,3,NCE,20-Jul-26
N,215498,3,ODE-363,20-Jul-28
N,215498,3,ODE-436,13-Jun-30
N,215498,4,I-918,13-Jun-26
N,215498,4,NCE,20-Jul-26
N,215498,4,ODE-363,20-Jul-28
N,215498,4,ODE-436,13-Jun-30
N,215499,1,NCE,21-Jan-26
N,215500,1,NP,13-Dec-26
N,215500,1,ODE-462,13-Dec-30
N,215515,1,I-964,20-Mar-28
N,215515,1,NCE,13-Jun-27
N,215515,1,ODE-212,13-Jun-29
N,215559,1,NCE,16-Aug-28
N,215559,1,ODE-439,16-Aug-30
N,215559,2,NCE,16-Aug-28
N,215559,2,ODE-439,16-Aug-30
N,215559,3,NCE,16-Aug-28
N,215559,3,ODE-439,16-Aug-30
N,215559,4,NCE,16-Aug-28
N,215559,4,ODE-439,16-Aug-30
N,215559,5,NCE,16-Aug-28
N,215559,5,ODE-439,16-Aug-30
N,215596,1,NCE,23-Nov-26
N,215596,1,ODE-388,23-Nov-28
N,215650,1,NP,07-Dec-24
N,215760,1,ODE-401,28-Apr-29
N,215793,1,NP,12-Jun-28
N,215814,1,NCE,01-Dec-27
N,215814,1,ODE-413,01-Dec-29
N,215830,1,NCE,23-Jun-28
N,215833,1,I-965,28-Mar-28
N,215833,1,NCE,23-Mar-27
N,215842,1,NCE,29-Sep-28
N,215842,1,NPP,27-Mar-28
N,215842,1,ODE-443,29-Sep-30
N,215842,2,NCE,29-Sep-28
N,215842,2,NPP,27-Mar-28
N,215842,2,ODE-443,29-Sep-30
N,215842,3,NCE,29-Sep-28
N,215842,3,NPP,27-Mar-28
N,215842,3,ODE-443,29-Sep-30
N,215866,1,NCE,13-May-27
N,215866,1,NPP,19-Dec-28
N,215866,2,NCE,13-May-27
N,215866,2,NPP,19-Dec-28
N,215866,3,NCE,13-May-27
N,215866,3,NPP,19-Dec-28
N,215866,4,NCE,13-May-27
N,215866,4,NPP,19-Dec-28
N,215866,5,NCE,13-May-27
N,215866,6,NCE,13-May-27
N,215866,7,NCE,13-May-27
N,215866,7,NPP,19-Dec-28
N,215866,8,NCE,13-May-27
N,215866,8,NPP,19-Dec-28
N,215866,9,NCE,13-May-27
N,215866,9,NPP,19-Dec-28
N,215866,10,NCE,13-May-27
N,215866,10,NPP,19-Dec-28
N,215866,11,NCE,13-May-27
N,215866,12,NCE,13-May-27
N,215887,1,NCE,25-Apr-28
N,215887,1,ODE-432,25-Apr-30
N,215888,1,NCE,26-Apr-27
N,215904,1,D-197,16-Oct-28
N,215904,1,NCE,01-Jun-27
N,215904,1,ODE-395,01-Jun-29
N,215910,1,ODE-414,17-Nov-29
N,215935,1,ODE-389,15-Dec-28
N,215935,1,ODE-464,20-Dec-30
N,215973,1,NCE,22-Dec-27
N,215974,1,NCE,22-Dec-27
N,215985,1,NPP,05-Oct-26
N,215985,2,NS,09-Jul-27
N,215985,3,NS,04-Oct-28
N,216016,1,NCE,27-Nov-29
N,216016,2,NCE,27-Nov-29
N,216016,3,NCE,27-Nov-29
N,216016,4,NCE,27-Nov-29
N,216016,5,NCE,27-Nov-29
N,216016,6,NCE,27-Nov-29
N,216016,7,NCE,27-Nov-29
N,216016,8,NCE,27-Nov-29
N,216016,9,NCE,27-Nov-29
N,216016,10,NCE,27-Nov-29
N,216016,11,NCE,27-Nov-29
N,216016,12,NCE,27-Nov-29
N,216016,13,NCE,27-Nov-29
N,216017,1,NCE,27-Nov-29
N,216017,2,NCE,27-Nov-29
N,216017,3,NCE,27-Nov-29
N,216017,4,NCE,27-Nov-29
N,216017,5,NCE,27-Nov-29
N,216017,6,NCE,27-Nov-29
N,216017,7,NCE,27-Nov-29
N,216017,8,NCE,27-Nov-29
N,216017,9,NCE,27-Nov-29
N,216017,10,NCE,27-Nov-29
N,216017,11,NCE,27-Nov-29
N,216017,12,NCE,27-Nov-29
N,216017,13,NCE,27-Nov-29
N,216023,1,NCE,25-May-28
N,216059,1,I-981,02-Dec-28
N,216059,1,NCE,27-Jan-28
N,216059,1,ODE-424,27-Jan-30
N,216059,1,ODE-451,01-Dec-30
N,216059,2,I-981,02-Dec-28
N,216059,2,NCE,27-Jan-28
N,216059,2,ODE-424,27-Jan-30
N,216059,2,ODE-451,01-Dec-30
N,216099,1,M-307,05-Dec-26
N,216099,2,M-307,05-Dec-26
N,216099,3,M-307,05-Dec-26
N,216099,4,M-307,05-Dec-26
N,216099,5,M-307,05-Dec-26
N,216099,6,M-307,05-Dec-26
N,216157,1,ODE*,25-Nov-26
N,216157,1,ODE-394,17-Dec-28
N,216158,1,NCE,26-Sep-29
N,216158,2,NCE,26-Sep-29
N,216158,3,NCE,26-Sep-29
N,216165,1,NCE,22-Feb-29
N,216196,1,NCE,17-Feb-27
N,216196,1,ODE-392,17-Feb-29
N,216196,2,NCE,17-Feb-27
N,216196,2,ODE-392,17-Feb-29
N,216196,3,NCE,17-Feb-27
N,216196,3,ODE-392,17-Feb-29
N,216196,4,NCE,17-Feb-27
N,216196,4,NP,23-Dec-28
N,216203,1,NCE,26-May-28
N,216203,2,NCE,26-May-28
N,216264,1,NCE,08-Jul-27
N,216340,1,NCE,12-Dec-27
N,216340,1,ODE-352,12-Dec-29
N,216386,1,NCE,09-Mar-28
N,216387,1,I-960,16-Jan-28
N,216403,1,NCE,17-Feb-28
N,216403,1,ODE-389,17-Feb-30
N,216403,1,ODE-493,05-Sep-31
N,216403,2,NCE,17-Feb-28
N,216403,2,ODE-389,17-Feb-30
N,216403,2,ODE-493,05-Sep-31
N,216490,1,NCE,09-Aug-29
N,216490,1,ODE-492,09-Aug-31
N,216490,2,NCE,09-Aug-29
N,216490,2,ODE-492,09-Aug-31
N,216490,3,NCE,09-Aug-29
N,216490,3,ODE-492,09-Aug-31
N,216540,1,NCE,22-Nov-29
N,216540,1,ODE-506,22-Nov-31
N,216578,1,NCE,12-May-28
A,216589,1,CGT,02-Aug-26
A,216589,2,CGT,27-Jul-26
A,216589,3,CGT,27-Jul-26
N,216593,1,NP,04-Apr-27
N,216593,1,ODE-470,04-Apr-31
N,216632,1,NP,20-Oct-26
N,216660,1,NCE,29-Sep-27
N,216660,1,ODE-411,29-Sep-29
N,216665,1,NP,26-Mar-28
N,216665,2,NP,26-Mar-28
N,216665,3,NP,26-Mar-28
N,216675,1,NCE,18-May-28
A,216683,3,CGT,01-Feb-26
N,216718,1,M-270,20-Dec-27
N,216718,1,NCE,28-Feb-28
N,216718,1,ODE-427,28-Feb-30
N,216793,1,I-980,12-Dec-28
N,216793,1,NP,11-Aug-26
N,216793,2,I-980,12-Dec-28
N,216793,2,NP,11-Aug-26
N,216834,1,NCE,17-Oct-28
N,216834,1,ODE-446,17-Oct-30
N,216834,2,NCE,17-Oct-28
N,216834,2,ODE-446,17-Oct-30
N,216834,3,NCE,17-Oct-28
N,216834,3,ODE-446,17-Oct-30
N,216873,1,NCE,15-Sep-28
N,216873,1,ODE-441,15-Sep-30
N,216873,2,NCE,15-Sep-28
N,216873,2,ODE-441,15-Sep-30
N,216873,3,NCE,15-Sep-28
N,216873,3,ODE-441,15-Sep-30
N,216951,1,NCE,01-Feb-28
N,216951,2,NCE,01-Feb-28
N,216951,3,NCE,01-Feb-28
N,216951,4,NCE,01-Feb-28
N,216951,5,NCE,01-Feb-28
N,216956,1,NCE,12-Oct-28
N,216962,1,NP,16-Oct-27
N,216974,1,NCE,23-May-28
N,216986,1,NCE,21-Sep-27
N,216986,2,NCE,21-Sep-27
N,216986,3,NCE,21-Sep-27
N,216986,4,NCE,21-Sep-27
N,216986,5,NCE,21-Sep-27
N,216986,6,NCE,21-Sep-27
N,216986,7,NCE,21-Sep-27
N,216993,1,NCE,20-Jul-28
N,216993,1,ODE-437,20-Jul-30
N,216993,2,NCE,20-Jul-28
N,216993,2,ODE-437,20-Jul-30
N,217003,1,NP,24-Aug-25
N,217003,1,ODE-405,24-Aug-29
N,217026,1,NCE,10-Mar-28
N,217026,1,ODE-425,10-Mar-30
N,217064,1,NP,25-Sep-26
N,217159,1,NCE,08-Sep-28
N,217159,1,ODE-442,08-Sep-30
N,217171,1,NCE,14-May-26
N,217171,1,NP,22-Feb-26
N,217186,1,NP,07-Aug-27
N,217186,2,NP,07-Aug-27
N,217186,3,NP,07-Aug-27
N,217186,4,NP,07-Aug-27
N,217188,1,D-195,31-Jan-28
N,217188,1,NCE,25-May-28
N,217202,1,NCE,22-Nov-29
N,217242,1,I-969,22-May-28
N,217242,1,NP,15-Dec-26
N,217307,1,NDF,09-Sep-28
N,217347,1,NCE,20-Jun-29
N,217369,1,NCE,31-Oct-28
N,217369,2,NCE,31-Oct-28
N,217369,3,NCE,31-Oct-28
N,217370,1,NCE,28-May-30
N,217388,1,NCE,21-Dec-28
N,217388,1,ODE-461,21-Dec-30
N,217389,1,NCE,26-Jun-29
N,217417,1,NCE,22-Mar-28
N,217417,1,ODE-426,22-Mar-30
N,217424,1,NCE,05-Jan-29
N,217439,1,I-920,20-Jun-26
N,217439,2,I-920,20-Jun-26
N,217439,4,I-920,20-Jun-26
N,217469,1,NP,30-May-26
N,217470,1,NP,22-May-26
N,217513,1,NP,16-Mar-26
N,217513,1,ODE-428,16-Mar-30
N,217514,1,NP,16-Mar-26
N,217514,1,ODE-428,16-Mar-30
